ScreenTime,SocialMediaHours,StudyHours,SleepHours,StressLevel,SocialPct,StudySleepRatio,ScreenMinusStudy,StressPerHour,DailyLoad,RiskLevel
4.75,4.06,3.37,5.23,3,0.8547368421052631,0.644359464627151,1.38,0.631578947368421,12.18,Medium
7.48,4.37,4.0,8.56,1,0.5842245989304813,0.4672897196261682,3.4800000000000004,0.1336898395721925,15.850000000000001,Medium
1.0,3.44,0.4,4.22,3,3.44,0.09478672985781991,0.6,3.0,4.84,Medium
3.72,2.85,1.16,8.75,4,0.7661290322580645,0.13257142857142856,2.5600000000000005,1.075268817204301,7.73,Medium
2.32,0.8,1.04,6.78,5,0.3448275862068966,0.15339233038348082,1.2799999999999998,2.1551724137931036,4.16,Medium
1.83,2.33,4.59,5.88,3,1.273224043715847,0.7806122448979592,-2.76,1.639344262295082,8.75,Low
2.68,1.73,3.56,8.98,2,0.6455223880597014,0.39643652561247217,-0.8799999999999999,0.7462686567164178,7.970000000000001,Low
4.11,1.13,2.77,4.29,3,0.27493917274939167,0.6456876456876457,1.3400000000000003,0.7299270072992701,8.01,Medium
4.57,2.96,1.52,6.58,3,0.6477024070021882,0.23100303951367782,3.0500000000000003,0.6564551422319475,9.05,Medium
5.85,1.56,4.17,4.16,4,0.2666666666666667,1.002403846153846,1.6799999999999997,0.6837606837606838,11.58,Medium
4.77,4.58,2.18,6.86,4,0.9601677148846961,0.3177842565597668,2.5899999999999994,0.8385744234800839,11.53,Medium
7.17,4.55,4.62,4.9,5,0.6345885634588563,0.9428571428571428,2.55,0.697350069735007,16.34,High
2.84,1.29,3.53,7.15,4,0.4542253521126761,0.49370629370629365,-0.69,1.4084507042253522,7.66,Low
8.9,0.55,2.39,8.9,4,0.06179775280898877,0.26853932584269663,6.51,0.449438202247191,11.840000000000002,Medium
1.25,0.96,0.63,8.37,5,0.768,0.07526881720430108,0.62,4.0,2.84,Medium
7.03,2.5,4.88,6.26,3,0.35561877667140823,0.7795527156549521,2.1500000000000004,0.4267425320056899,14.41,Medium
4.76,3.64,0.8,7.54,4,0.7647058823529412,0.10610079575596817,3.96,0.8403361344537815,9.200000000000001,Medium
6.03,1.04,1.01,7.89,3,0.1724709784411277,0.12801013941698353,5.0200000000000005,0.49751243781094523,8.08,Medium
2.26,1.24,2.16,6.47,1,0.5486725663716815,0.33384853168469864,0.09999999999999964,0.4424778761061947,5.66,Low
2.78,4.26,2.02,6.64,4,1.5323741007194245,0.3042168674698795,0.7599999999999998,1.4388489208633095,9.059999999999999,Medium
8.21,2.08,0.73,4.75,2,0.25334957369062117,0.15368421052631578,7.48,0.24360535931790497,11.020000000000001,High
9.71,3.08,3.65,5.85,4,0.3171987641606591,0.6239316239316239,6.0600000000000005,0.4119464469618949,16.44,High
3.82,1.17,0.94,4.71,2,0.306282722513089,0.19957537154989383,2.88,0.5235602094240838,5.93,Medium
7.23,0.51,3.22,7.63,5,0.07053941908713693,0.42201834862385323,4.01,0.6915629322268326,10.96,Medium
8.89,2.58,3.77,6.39,4,0.29021372328458944,0.5899843505477309,5.120000000000001,0.44994375703037115,15.24,Medium
9.05,2.39,1.05,6.24,5,0.2640883977900552,0.16826923076923078,8.0,0.5524861878453038,12.490000000000002,High
1.77,0.76,3.0,8.43,5,0.4293785310734463,0.35587188612099646,-1.23,2.824858757062147,5.53,Low
1.35,3.11,3.74,6.64,1,2.3037037037037034,0.5632530120481928,-2.39,0.7407407407407407,8.2,Low
2.53,2.72,3.19,6.05,4,1.0750988142292492,0.5272727272727272,-0.6600000000000001,1.58102766798419,8.44,Medium
8.9,3.27,2.99,5.34,4,0.36741573033707864,0.5599250936329588,5.91,0.449438202247191,15.16,High
1.89,0.72,1.48,4.36,1,0.38095238095238093,0.33944954128440363,0.4099999999999999,0.5291005291005292,4.09,Low
4.79,3.76,3.66,6.09,2,0.7849686847599164,0.6009852216748769,1.13,0.4175365344467641,12.21,Medium
9.62,1.11,4.73,4.13,4,0.1153846153846154,1.1452784503631963,4.889999999999999,0.4158004158004158,15.459999999999999,Medium
5.8,2.6,2.13,5.46,5,0.4482758620689655,0.3901098901098901,3.67,0.8620689655172414,10.530000000000001,Medium
7.23,3.93,3.91,6.52,5,0.5435684647302904,0.5996932515337424,3.3200000000000003,0.6915629322268326,15.07,Medium
3.84,0.11,0.28,8.83,1,0.028645833333333336,0.03171007927519819,3.5599999999999996,0.2604166666666667,4.2299999999999995,Low
7.18,1.62,4.18,4.55,3,0.22562674094707524,0.9186813186813186,3.0,0.4178272980501393,12.98,Medium
8.51,4.36,0.96,7.37,4,0.5123384253819037,0.13025780189959293,7.55,0.4700352526439483,13.830000000000002,High
1.16,4.22,1.98,6.5,4,3.6379310344827585,0.3046153846153846,-0.8200000000000001,3.4482758620689657,7.359999999999999,Medium
7.75,2.69,1.5,7.89,5,0.3470967741935484,0.19011406844106465,6.25,0.6451612903225806,11.94,Medium
9.9,4.33,0.4,4.72,3,0.43737373737373736,0.08474576271186442,9.5,0.30303030303030304,14.63,High
7.73,4.75,4.52,4.42,1,0.6144890038809832,1.0226244343891402,3.210000000000001,0.129366106080207,17.0,Medium
